symbol,entry_date,setup,p_raw,p_cal,score,is_win,r_realized
FCX,2024-05-22,breakout,0.3294939152417913,0.3397291196388262,34,0,-1.0
BWXT,2024-05-23,reversion,0.2947511444511785,0.33519553072625696,34,1,2.508
SO,2024-05-23,momentum,0.2990667531860255,0.33519553072625696,34,0,-1.0
EOG,2024-05-23,reversion,0.36855794008828485,0.3397291196388262,34,0,-1.0
REGN,2024-05-23,momentum,0.4539773504382828,0.41379310344827586,41,0,-1.0
NRG,2024-05-23,momentum,0.4192639379330615,0.3397291196388262,34,0,-1.0
XLE,2024-05-23,reversion,0.29577830154030466,0.33519553072625696,34,0,-1.0
SCHW,2024-05-23,breakout,0.29764693507046686,0.33519553072625696,34,0,-1.0
UBER,2024-05-23,reversion,0.387411078569132,0.3397291196388262,34,1,1.056
BROS,2024-05-24,momentum,0.46284506999266556,0.41379310344827586,41,1,2.664
DDOG,2024-05-24,momentum,0.42396041517149596,0.3397291196388262,34,0,-1.0
PFE,2024-05-24,momentum,0.4031494891265029,0.3397291196388262,34,0,-1.0
WDAY,2024-05-24,breakout,0.21288216318428158,0.33519553072625696,34,0,-1.0
UNH,2024-05-24,momentum,0.40038901159592705,0.3397291196388262,34,0,-1.0
MS,2024-05-24,momentum,0.4791783759601933,0.41379310344827586,41,0,-1.0
META,2024-05-24,momentum,0.49104674560795825,0.4461538461538462,45,0,-1.0
INTU,2024-05-24,breakout,0.35286816298070817,0.3397291196388262,34,0,-1.0
GS,2024-05-28,momentum,0.30508490221617507,0.33519553072625696,34,0,-1.0
HUBS,2024-05-28,momentum,0.5984049885496251,0.5918367346938775,59,0,-1.0
DUK,2024-05-28,momentum,0.3362951315723583,0.3397291196388262,34,0,-1.0
XPEV,2024-05-28,momentum,0.2570627121110731,0.33519553072625696,34,0,-1.0
AAPL,2024-05-28,momentum,0.5699877930254451,0.562962962962963,56,1,2.754
V,2024-05-29,reversion,0.221347517647176,0.33519553072625696,34,1,2.49
